brand_id,brand_name,slug,country,logo_url
be39d73bbc15404b82b61c43433323c1,Aprilia,aprilia,Global,
4e4268023fdf4ecea25767c1d37dcf58,Ather,ather,Global,
5a2d0d631147490e809cada2506ddac2,Bajaj,bajaj,Global,
de996c5d3c574e97babbf2fb7124c593,Benelli,benelli,Global,
3fc7a775621d4c6faeb7c4dbd0ae4b9e,Beta,beta,Global,
20a3d19ab1b04fe885f46063f33a02a5,Bmw Motorrad,bmw-motorrad,Global,
164fbde7e9c54515a936d20d72248d93,Brixton,brixton,Global,
e527e927070f4f72bb996a263718aabc,Bsa,bsa,Global,
b14ae2679eb34f4587cfa118568bc09d,Cfmoto,cfmoto,Global,
eb5752b38d0b450cbce319845830bcc3,Ducati,ducati,Global,
afffccef1ad04a8e997640d806201ceb,Fantic,fantic,Global,
5424f6881cd849568fd48b614b679081,Gasgas,gasgas,Global,
e38fb2c97314490ab560a6d68d7522b0,Harley Davidson,harley-davidson,Global,
e2be7326201f47e7ad7ba1d6a4ed4d74,Hero,hero,Global,
f419b4c8392a4055b46b4046ade894d0,Honda,honda,Global,
9eef47554d0b4b63b97d8ca3a5f8224a,Husqvarna,husqvarna,Global,
e452f53ce02b4ff989be2c0a48829e0b,Hyosung,hyosung,Global,
661dd54a28624c34b6c3e20d54b4ac30,Jawa,jawa,Global,
d10dc5c0f4f946cfa753cb7c9cb3a0bb,Kawasaki,kawasaki,Global,
f4c20800cfd143d5b545257794c9a886,Keeway,keeway,Global,
6591701aa0bf4468a7f8b508db74eaf5,Ktm,ktm,Global,
793bee2e4d4f40a3994386fcc635b171,Kymco,kymco,Global,
003816b2967145a09d89c261f9c96258,Mash,mash,Global,
a69d244f887e41b0bf90db1506eb2717,Matter,matter,Global,
d751afdcbe4a41bb8d8191eb4df22c44,Moto Guzzi,moto-guzzi,Global,
3eb8e20b7acf4abfad0ebf826adc5929,Moto Morini,moto-morini,Global,
3c8ced1054aa4cd596554c4ea6d4f502,Mv Agusta,mv-agusta,Global,
b0e5b46849004f04a92ebd37498087d3,Norton,norton,Global,
16389d49a14b4203ad0308f2b8e61805,Ola Electric,ola-electric,Global,
27e796c05572485e957d35b8d3ead42c,Piaggio,piaggio,Global,
2e01215542b8497fb5a6cd5a441de21b,Qjmotor,qjmotor,Global,
d25b7711496c48a68204670d72411275,Revolt,revolt,Global,
e8f9e53bd4a74ea095066149219f2c2b,Royal Enfield,royal-enfield,Global,
8dfe3fd61aad48848ab93656a150026f,Sherco,sherco,Global,
546f02d35ce2440e98bd72a11f71d78e,Suzuki,suzuki,Global,
a25d47c1d72649a2b7b9a28ea3cbe6f5,Sym,sym,Global,
38df9e8b1382437087980bb1b49d4f0d,Triumph,triumph,Global,
ac0b4bdce404450bae09f234edb8d26a,Tvs,tvs,Global,
c7905d63229048beb0d57010ad1b3266,Ultraviolette,ultraviolette,Global,
a8ef45a5e3da441d9e0de7540960fe4a,Um Motorcycles,um-motorcycles,Global,
efc7425131dd43b0bf61b1ab8d854bda,Ural,ural,Global,
01bb3862b9a04d7cbb7150f29e9e1b7b,Vespa,vespa,Global,
28393b2d0e604d478eabf81117aaa002,Yamaha,yamaha,Global,
abd199a995fd4859b5f54c07c3287135,Yezdi,yezdi,Global,
df25e19531a149b59d5baf3291296b1f,Zero Motorcycles,zero-motorcycles,Global,
822e6aeeabcd4f8a8aa2aa3b43efeca1,Zontes,zontes,Global,
