model_id,brand_name,model_name,model_slug,category,thumbnail_url,engine_cc,horsepower_bhp,torque_nm,top_speed_kmh,mileage_kmpl,price_inr,price_usd,weight_kg,fuel_tank_liters
99e43966eade49dc83cec828f5354b95,Aprilia,RS 457,rs-457,SPORT,/static/images/aprilia_rs_457.png,457.0,47.6,43.5,180.0,25.0,410000.0,,165.0,13.0
e6314126a40342579f728942c1a082aa,Aprilia,RS 660,rs-660,SPORT,/static/images/aprilia_rs_660.png,659.0,100.0,67.0,230.0,20.0,1774000.0,,165.0,15.0
9e9b7c0e7e3441679d7b641fe0163add,Aprilia,RSV4 Factory 1100,rsv4-factory-1100,SPORT,/static/images/aprilia_rsv4_factory_1100.png,1099.0,217.0,125.0,305.0,13.0,3126000.0,,165.0,17.9
b850b705e5fa443e8b0cd5bbd29194f9,Aprilia,SR 160 Storm,sr-160-storm,SCOOTER,/static/images/aprilia_sr_160_storm.png,160.0,11.2,13.4,105.0,40.0,132000.0,,165.0,6.0
4691f24d67984454a8d1715db09e685c,Aprilia,SXR 160 Maxi,sxr-160-maxi,SCOOTER,/static/images/aprilia_sxr_160_maxi.png,160.0,11.2,13.4,105.0,38.0,144000.0,,165.0,7.0
472fcecc2e5c40e9943c2576d0636460,Aprilia,Tuareg 660 Rally,tuareg-660-rally,ADVENTURE,/static/images/aprilia_tuareg_660_rally.png,659.0,80.0,70.0,190.0,22.0,1885000.0,,165.0,18.0
0c62a94a1f174118b96aaf2e6e6649dd,Aprilia,Tuono 660,tuono-660,NAKED,/static/images/aprilia_tuono_660.png,659.0,95.0,67.0,220.0,21.0,1300000.0,,165.0,15.0
cf944a3d3a64429d90bb1bf16dfe9540,Aprilia,Tuono V4 Factory,tuono-v4-factory,NAKED,/static/images/aprilia_tuono_v4_factory.png,1077.0,175.0,121.0,280.0,14.0,2066000.0,,165.0,18.5
1a70ee73f8414be3be832b8f904bf2a1,Ather,450S EV,450s-ev,NAKED,/static/images/ather_450s_ev.png,0.0,7.2,22.0,90.0,115.0,126000.0,,165.0,2.9
90fda81d22a54fac8c0634f2b01b8652,Ather,450X Apex EV,450x-apex-ev,NAKED,/static/images/ather_450x_apex_ev.png,0.0,9.4,26.0,100.0,157.0,189000.0,,165.0,3.7
8157d05d3a1549ea9803ca816ffa5c4e,Ather,Rizta Z EV,rizta-z-ev,NAKED,/static/images/ather_rizta_z_ev.png,0.0,5.7,22.0,80.0,160.0,145000.0,,165.0,3.7
